CLASS,PERCENTAGE
half-mask,42.21736192703247
with-mask,32.47615694999695
half-mask,49.983277916908264
half-mask,50.23348927497864
half-mask,50.540268421173096
half-mask,48.386797308921814
half-mask,47.44943976402283
with-mask,30.98253309726715
half-mask,47.38345742225647
with-mask,30.168524384498596
half-mask,47.12345898151398
with-mask,30.439060926437378
half-mask,46.32633924484253
with-mask,30.38681447505951
half-mask,45.95792889595032
with-mask,31.235215067863464
half-mask,42.78289973735809
with-mask,34.52933132648468
half-mask,40.74065983295441
with-mask,37.566712498664856
half-mask,42.585477232933044
with-mask,35.889431834220886
half-mask,43.37466061115265
with-mask,35.178354382514954
half-mask,42.95448660850525
with-mask,35.84466576576233
half-mask,43.53982210159302
with-mask,34.6613883972168
half-mask,43.45202445983887
with-mask,35.83819270133972
half-mask,40.575361251831055
with-mask,38.13332915306091
half-mask,39.299389719963074
with-mask,38.66966664791107
half-mask,39.27697837352753
with-mask,38.31941783428192
half-mask,39.85857963562012
with-mask,37.32375502586365
half-mask,40.57875573635101
with-mask,36.94842755794525
half-mask,40.79563617706299
with-mask,38.065749406814575
half-mask,41.718319058418274
with-mask,38.79583477973938
half-mask,44.19368803501129
with-mask,37.90883719921112
half-mask,41.73480570316315
with-mask,38.59408795833588
half-mask,44.36115920543671
with-mask,34.27956700325012
half-mask,44.127678871154785
with-mask,34.53947901725769
half-mask,43.55108141899109
with-mask,33.99810492992401
half-mask,42.89695918560028
with-mask,33.70451033115387
half-mask,42.75081753730774
with-mask,31.91012144088745
half-mask,42.233893275260925
with-mask,32.75168240070343
half-mask,41.91305935382843
with-mask,32.65089690685272
half-mask,41.25687777996063
with-mask,32.33169615268707
half-mask,41.34103059768677
with-mask,32.40078389644623
half-mask,41.22188687324524
with-mask,31.964251399040222
half-mask,40.858545899391174
with-mask,33.25926959514618
half-mask,41.127049922943115
with-mask,30.15933334827423
half-mask,40.933990478515625
half-mask,40.29548764228821
half-mask,42.203739285469055
half-mask,43.60088109970093
half-mask,44.89394426345825
half-mask,47.14641571044922
half-mask,47.21906781196594
half-mask,42.58104860782623
half-mask,41.37943387031555
half-mask,40.656107664108276
half-mask,40.468525886535645
half-mask,39.941051602363586
half-mask,39.37286138534546
half-mask,37.73459494113922
half-mask,37.99482882022858
half-mask,37.27269172668457
half-mask,37.899282574653625
half-mask,37.68611550331116
half-mask,37.66103386878967
with-mask,30.528587102890015
half-mask,36.60535514354706
with-mask,31.846672296524048
half-mask,35.66942512989044
with-mask,30.607551336288452
half-mask,36.539775133132935
half-mask,36.89698874950409
half-mask,46.19569480419159
half-mask,46.024781465530396
half-mask,46.67251408100128
half-mask,46.55913710594177
half-mask,46.21880352497101
half-mask,45.87666988372803
half-mask,45.90421915054321
half-mask,46.472302079200745
half-mask,48.177143931388855
half-mask,63.88084292411804
half-mask,63.10856342315674
half-mask,64.12274837493896
half-mask,60.19179821014404
half-mask,60.59693098068237
half-mask,59.34024453163147
half-mask,60.51687002182007
half-mask,61.72317862510681
half-mask,61.634743213653564
half-mask,63.53761553764343
half-mask,60.72184443473816
half-mask,42.12959408760071
with-mask,39.8721307516098
half-mask,43.12540888786316
with-mask,38.31753432750702
with-mask,67.82887578010559
with-mask,78.23677659034729
no-mask,35.99013090133667
with-mask,83.9201033115387
with-mask,88.70948553085327
with-mask,88.1726861000061
with-mask,89.68968987464905
with-mask,90.09001851081848
with-mask,90.73525071144104
with-mask,91.50161147117615
with-mask,91.77111983299255
with-mask,92.07947254180908
with-mask,92.16198921203613
with-mask,92.4985408782959
with-mask,92.09051132202148
with-mask,91.89506769180298
with-mask,91.59356355667114
with-mask,91.58996939659119
with-mask,91.57198667526245
with-mask,92.26874113082886
with-mask,92.14235544204712
with-mask,92.3993170261383
with-mask,91.18467569351196
with-mask,91.16336107254028
with-mask,90.65248370170593
with-mask,91.21331572532654
with-mask,90.24409055709839
with-mask,92.57128238677979
with-mask,90.66223502159119
with-mask,86.5121841430664
with-mask,87.10100650787354
with-mask,88.32919597625732
with-mask,86.38960719108582
with-mask,62.67567276954651
with-mask,48.45239520072937
no-mask,44.720664620399475
with-mask,51.034384965896606
no-mask,42.695823311805725
with-mask,50.27998685836792
no-mask,44.88690197467804
with-mask,37.43756115436554
no-mask,38.996538519859314
no-mask,61.05825901031494
with-mask,32.3844313621521
no-mask,41.78370237350464
with-mask,33.005690574645996
no-mask,43.63009035587311
no-mask,40.94729721546173
no-mask,57.17788338661194
no-mask,39.875638484954834
no-mask,39.76499140262604
with-mask,50.82853436470032
no-mask,46.05160057544708
with-mask,62.98255920410156
no-mask,45.910412073135376
with-mask,83.22445750236511
with-mask,82.82528519630432
with-mask,81.3590407371521
with-mask,81.84427618980408
with-mask,86.61304116249084
with-mask,87.60650753974915
with-mask,81.35131597518921
with-mask,58.7752103805542
with-mask,32.59214758872986
with-mask,30.147188901901245
no-mask,46.08823359012604
no-mask,36.17691397666931
with-mask,43.07045042514801
no-mask,39.898306131362915
with-mask,33.8081419467926
with-mask,32.22905099391937
with-mask,33.48134160041809
with-mask,35.31546592712402
with-mask,35.056549310684204
with-mask,35.69124937057495
with-mask,35.895514488220215
with-mask,35.63186228275299
with-mask,38.20924460887909
with-mask,38.1596714258194
with-mask,38.21455240249634
with-mask,38.63691687583923
with-mask,40.16518294811249
with-mask,37.513500452041626
with-mask,32.667309045791626
with-mask,31.96379244327545
no-mask,50.425881147384644
no-mask,60.09848117828369
no-mask,46.34498059749603
no-mask,47.648823261260986
no-mask,48.15922677516937
no-mask,34.976357221603394
no-mask,37.034085392951965
no-mask,37.083280086517334
no-mask,54.36620116233826
no-mask,60.27016043663025
no-mask,72.03699350357056
no-mask,75.02689957618713
no-mask,73.61946702003479
no-mask,73.77287149429321
no-mask,70.92525362968445
